"method"	"final_n"	"changepoint"	"total_number_found"	"diff_real"	"method_f"	"n2_init"	"target_cpt"
"328"	"Iterative"	9	56	"3"	23	"Iterative"	5	"3"
"329"	"Iterative"	10	45	"5"	12	"Iterative"	6	"3"
"330"	"Iterative"	14	35	"5"	2	"Iterative"	7	"3"
"331"	"Regular"	22	36	"8"	3	"Regular"	5	"3"
"332"	"Random"	22	22	"5"	-11	"Random"	5	"3"
"333"	"Iterative"	9	56	"3"	23	"Iterative"	5	"3"
"334"	"Iterative"	10	45	"5"	12	"Iterative"	6	"3"
"335"	"Iterative"	14	35	"5"	2	"Iterative"	7	"3"
"336"	"Regular"	23	34	"10"	1	"Regular"	5	"3"
"337"	"Random"	23	34	"5"	1	"Random"	5	"3"
"338"	"Iterative"	9	56	"3"	23	"Iterative"	5	"3"
"339"	"Iterative"	10	45	"5"	12	"Iterative"	6	"3"
"340"	"Iterative"	14	35	"5"	2	"Iterative"	7	"3"
"341"	"Regular"	24	36	"10"	3	"Regular"	5	"3"
"342"	"Random"	24	33	"6"	0	"Random"	5	"3"
"343"	"Iterative"	9	56	"3"	23	"Iterative"	5	"3"
"344"	"Iterative"	10	45	"5"	12	"Iterative"	6	"3"
"345"	"Iterative"	14	35	"5"	2	"Iterative"	7	"3"
"346"	"Regular"	25	34	"6"	1	"Regular"	5	"3"
"347"	"Random"	25	36	"10"	3	"Random"	5	"3"
"348"	"Iterative"	9	56	"3"	23	"Iterative"	5	"3"
"349"	"Iterative"	10	45	"5"	12	"Iterative"	6	"3"
"350"	"Iterative"	14	35	"5"	2	"Iterative"	7	"3"
"351"	"Regular"	26	33	"5"	0	"Regular"	5	"3"
"352"	"Random"	26	26	"7"	-7	"Random"	5	"3"
"353"	"Iterative"	9	56	"3"	23	"Iterative"	5	"3"
"354"	"Iterative"	10	45	"5"	12	"Iterative"	6	"3"
"355"	"Iterative"	14	35	"5"	2	"Iterative"	7	"3"
"356"	"Regular"	27	35	"4"	2	"Regular"	5	"3"
"357"	"Random"	27	27	"9"	-6	"Random"	5	"3"
"358"	"Iterative"	9	56	"3"	23	"Iterative"	5	"3"
"359"	"Iterative"	10	45	"5"	12	"Iterative"	6	"3"
"360"	"Iterative"	14	35	"5"	2	"Iterative"	7	"3"
"361"	"Regular"	28	36	"9"	3	"Regular"	5	"3"
"362"	"Random"	28	24	"13"	-9	"Random"	5	"3"
"363"	"Iterative"	9	56	"3"	23	"Iterative"	5	"3"
"364"	"Iterative"	10	45	"5"	12	"Iterative"	6	"3"
"365"	"Iterative"	14	35	"5"	2	"Iterative"	7	"3"
"366"	"Regular"	29	35	"6"	2	"Regular"	5	"3"
"367"	"Random"	29	47	"3"	14	"Random"	5	"3"
"368"	"Iterative"	9	56	"3"	23	"Iterative"	5	"3"
"369"	"Iterative"	10	45	"5"	12	"Iterative"	6	"3"
"370"	"Iterative"	14	35	"5"	2	"Iterative"	7	"3"
"371"	"Regular"	30	34	"10"	1	"Regular"	5	"3"
"372"	"Random"	30	39	"10"	6	"Random"	5	"3"
"373"	"Iterative"	9	56	"3"	23	"Iterative"	5	"3"
"374"	"Iterative"	10	45	"5"	12	"Iterative"	6	"3"
"375"	"Iterative"	14	35	"5"	2	"Iterative"	7	"3"
